ticker,company_name,sector,sub_sector,industry,sub_industry,sub_industry_code,index_membership,listing_date,listing_board,shares_outstanding,market_cap
CMNT,Cemindo Gemilang Tbk.,Basic Materials,Basic Materials,Construction Materials,Construction Materials,B121,"COMPOSITE, DBX, IDXBASIC, IDXSMC-COM",2021-09-08,Development,17125504000,13700403200000
CMPP,AirAsia Indonesia Tbk.,Transportation & Logistic,Transportation,Airlines,Airlines,K111,"COMPOSITE, IDXTRANS, ISSI",1994-12-08,Watchlist,10685124441,737273586429
CMRY,Cisarua Mountain Dairy Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Dairy Products,D221,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDX80, IDXESGL, IDXNONCYC, IDXQ30, IDXSMC-COM, IDXSMC-LIQ, ISSI, JII70, KOMPAS100, MBX, MNC36",2021-12-06,Main,7934683000,36499541800000
CNKO,Exploitasi Energi Indonesia Tb,Energy,"Oil, Gas & Coal",Coal,Coal Distribution,A122,"COMPOSITE, IDXENERGY",2001-11-20,Watchlist,8956361206,331385364622
CNMA,Nusantara Sejahtera Raya Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Recreational & Sports Facilities,E514,"COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM, IDXSMC-LIQ, ISSI",,Development,83345000000,7584395000000
COAL,Black Diamond Resources Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production,A121,"COMPOSITE, IDXENERGY, ISSI",2022-09-07,Development,6250000000,131250000000
COCO,Wahana Interfood Nusantara Tbk,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods,D222,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM",2019-03-20,Development,14237823696,1580398430256
COIN,Indokripto Koin Semesta Tbk.,Financials,Holding & Investment Companies,Holding & Investment Companies,Financial Holdings,G511,"COMPOSITE, DBX, IDXFINANCE",2025-07-09,Development,14705882400,9632352972000
COWL,Cowell Development Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, IDXPROPERT",2007-12-19,Watchlist,4871214021,243560701050
CPIN,Charoen Pokphand Indonesia Tbk,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry",D231,"BISNIS-27, COMPOSITE, IDX30, IDX80, IDXLQ45LCL, IDXNONCYC, IDXQ30, IDXVESTA28, Investor33, ISSI, JII, JII70, KOMPAS100, LQ45, MBX, MNC36",1991-03-18,Main,16398000000,53949420000000
CPRI,Capri Nusa Satu Properti Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, IDXPROPERT",2019-04-11,Watchlist,2433379958,121668997900
CPRO,Central Proteina Prima Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry",D231,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",2006-11-28,Development,59572382787,3038191522137
CRAB,Toba Surimi Industries Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry",D231,"COMPOSITE, DBX, IDXNONCYC",,Development,1950000000,405600000000
CRSN,Carsurin Tbk.,Industrials,Industrial Services,Professional Services,Research & Consulting Services,C232,"COMPOSITE, DBX, IDXINDUST, ISSI",2023-07-10,Development,2892000000,312336000000
CSAP,Catur Sentosa Adiprana Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Home Improvement Retail,E743,"COMPOSITE, IDXCYCLIC, IDXSMC-COM, ISSI",2007-12-12,Development,5683175151,1648120793790
CSIS,Cahayasakti Investindo Sukses,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, DBX, IDXPROPERT, ISSI",2017-05-10,Development,1829802981,333024119064
CSMI,Cipta Selera Murni Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Restaurants,E515,"COMPOSITE, DBX, IDXCYCLIC, ISSI",2020-04-09,Development,816061500,60388551000
CSRA,Cisadane Sawit Raya Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,D232,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",2020-01-09,Development,2050000000,1527250000000
CTBN,Citra Tubindo Tbk.,Basic Materials,Basic Materials,Metals & Minerals,Iron & Steel,B144,"COMPOSITE, DBX, IDXBASIC, IDXSMC-COM, ISSI",1989-11-28,Development,800371500,3377567730000
CTRA,Ciputra Development Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, ECONOMIC30, ESGQKEHATI, ESGSKEHATI, IDX80, IDXESGL, IDXG30, IDXLQ45LCL, IDXPROPERT, IDXQ30, IDXSMC-COM, IDXSMC-LIQ, IDXV30, ISSI, JII70, KOMPAS100, MBX",1994-03-28,Main,18535695255,10658024771625
CTTH,Citatah Tbk.,Industrials,Industrial Goods,Building Products & Fixtures,Building Products & Fixtures,C121,"COMPOSITE, IDXINDUST",1996-07-03,Development,1230839821,153854977625
CUAN,Petrindo Jaya Kreasi Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production,A121,"COMPOSITE, I-GRADE, IDX80, IDXENERGY, KOMPAS100, LQ45, MBX",2023-03-08,Main,112418900000,74758568500000
CYBR,ITSEC Asia Tbk.,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting,I121,"COMPOSITE, DBX, IDXSMC-COM, IDXTECHNO, ISSI",,Development,13482365704,7346981665680
DAAZ,Daaz Bara Lestari Tbk.,Basic Materials,Basic Materials,Metals & Minerals,Diversified Metals & Minerals,B146,"COMPOSITE, IDXBASIC, IDXSMC-COM, MBX",2024-11-11,Main,1997000000,3035440000000
DADA,Diamond Citra Propertindo Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, DBX, IDXPROPERT, ISSI",2020-02-14,Development,7431530800,371576540000
DART,Duta Anggada Realty Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, DBX, IDXPROPERT",1990-05-08,Development,3141390962,395815261212
DATA,Remala Abadi Tbk.,Infrastructures,Telecommunication,Telecommunication Service,Wired Telecommunication Service,J311,"COMPOSITE, DBX, IDXINFRA, IDXSMC-COM, ISSI",2024-05-07,Development,1375000000,2832500000000
DAYA,Duta Intidaya Tbk.,Consumer Non-Cyclicals,Food & Staples Retailing,Food & Staples Retailing,Drug Retail & Distributors,D111,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",2016-06-28,Development,2420547025,2396341554750
DCII,DCI Indonesia Tbk.,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting,I121,"COMPOSITE, DBX, IDXTECHNO, ISSI",2021-01-06,Development,2383745900,456129777965000
DEAL,Dewata Freightinternational Tb,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries,K211,"COMPOSITE, IDXTRANS",2018-11-11,Watchlist,1146170959,6877025754
DEFI,Danasupra Erapacific Tbk.,Financials,Holding & Investment Companies,Holding & Investment Companies,Investment Companies,G512,"COMPOSITE, DBX, IDXFINANCE, ISSI",2001-07-06,Development,687266666,72162999930
DEPO,Caturkarda Depo Bangunan Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Home Improvement Retail,E743,"COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM, ISSI",2021-11-25,Development,6790000000,1643180000000
DEWA,Darma Henwa Tbk,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services",A132,"BISNIS-27, COMPOSITE, IDX80, IDXENERGY, IDXSMC-COM, IDXSMC-LIQ, ISSI, JII, JII70, KOMPAS100, LQ45, MBX",2007-09-26,Main,40687434244,18716219752240
DEWI,Dewi Shri Farmindo Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry",D231,"COMPOSITE, DBX, IDXNONCYC, ISSI",2022-07-18,Development,2000000000,238000000000
DFAM,Dafam Property Indonesia Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines",E512,"COMPOSITE, DBX, IDXCYCLIC",2018-04-27,Development,1899852850,151988228000
DGIK,Nusa Konstruksi Enjiniring Tbk,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,J211,"COMPOSITE, DBX, IDXINFRA, ISSI",2007-12-19,Development,5541165000,709269120000
DGNS,Diagnos Laboratorium Utama Tbk,Healthcare,Healthcare Equipment & Providers,Healthcare Providers,Healthcare Providers,F121,"COMPOSITE, DBX, IDXHEALTH, ISSI",2021-01-15,Development,1375000000,319000000000
DGWG,Delta Giri Wacana Tbk.,Basic Materials,Basic Materials,Chemicals,Agricultural Chemicals,B112,"COMPOSITE, IDXBASIC, IDXSMC-COM, ISSI, MBX",2025-01-13,Main,5882353000,1670588252000
DIGI,Arkadia Digital Media Tbk.,Consumer Cyclicals,Media & Entertainment,Media,Consumer Publishing,E614,"COMPOSITE, IDXCYCLIC",2018-09-18,Watchlist,1625000000,47125000000
DILD,Intiland Development Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, IDXPROPERT, IDXSMC-COM, ISSI, MBX",1991-09-04,Main,10365854185,1212804939645
DIVA,Distribusi Voucher Nusantara T,Technology,Software & IT Services,Online Applications & Services,Online Applications & Services,I111,"COMPOSITE, DBX, IDXTECHNO, ISSI",2018-11-27,Development,1428571400,174285710800
DKFT,Central Omega Resources Tbk.,Basic Materials,Basic Materials,Metals & Minerals,Diversified Metals & Minerals,B146,"COMPOSITE, IDXBASIC, IDXSHAGROW, IDXSMC-COM, ISSI, JII70, MBX",1997-11-21,Main,5638246600,3721242756000
DKHH,Cipta Sarana Medika Tbk.,Healthcare,Healthcare Equipment & Providers,Healthcare Providers,Healthcare Providers,F121,"COMPOSITE, DBX, IDXHEALTH",2025-05-08,Development,2550312624,158119382688
DLTA,Delta Djakarta Tbk.,Consumer Non-Cyclicals,Food & Beverage,Beverages,Liquors,D211,"COMPOSITE, IDXNONCYC, IDXSMC-COM, MBX",1984-02-27,Main,800659050,1425173109000
DMAS,Puradelta Lestari Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, IDXPROPERT, IDXSMC-COM, ISSI, MBX",2015-05-29,Main,48198111100,7133320442800
DMMX,Digital Mediatama Maxima Tbk.,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting,I121,"COMPOSITE, DBX, IDXSMC-COM, IDXTECHNO, ISSI",2019-10-21,Development,7692307700,1430769232200
DMND,Diamond Food Indonesia Tbk.,Consumer Non-Cyclicals,Food & Staples Retailing,Food & Staples Retailing,Food Retail & Distributors,D112,"COMPOSITE, IDXNONCYC, IDXSMC-COM, ISSI, MBX",2020-01-22,Main,9468359000,5917724375000
DNAR,Bank Oke Indonesia Tbk.,Financials,Banks,Banks,Banks,G111,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",2014-07-11,Development,16721891185,2073514506940
DNET,Indoritel Makmur Internasional,Financials,Holding & Investment Companies,Holding & Investment Companies,Investment Companies,G512,"COMPOSITE, IDXFINANCE, MBX",2000-12-11,Main,14184000000,139003200000000
DOID,BUMA Internasional Grup Tbk.,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services",A132,"COMPOSITE, DBX, IDXENERGY, IDXSMC-COM",2001-06-15,Development,7651007132,1667919554776
DOOH,Era Media Sejahtera Tbk.,Consumer Cyclicals,Media & Entertainment,Media,Advertising,E611,"COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM, ISSI",2023-05-08,Development,7738891036,1919244976928
DOSS,Global Sukses Digital Tbk.,Consumer Cyclicals,Leisure Goods,Consumer Electronics,Consumer Electronics,E311,"COMPOSITE, DBX, IDXCYCLIC, ISSI",,Development,1725000000,281175000000
DPNS,Duta Pertiwi Nusantara Tbk.,Basic Materials,Basic Materials,Chemicals,Specialty Chemicals,B113,"COMPOSITE, DBX, IDXBASIC",,Development,331129952,102650285120
DPUM,Dua Putra Utama Makmur Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry",D231,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM",2015-12-08,Development,4175000000,409150000000
DRMA,Dharma Polimetal Tbk.,Consumer Cyclicals,Automobiles & Components,Auto Components,Auto Parts & Equipment,E111,"COMPOSITE, IDXCYCLIC, IDXSMC-COM, ISSI, MBX",2021-12-20,Main,4705882300,4517647008000
DSFI,Dharma Samudera Fishing Indust,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry",D231,"COMPOSITE, DBX, IDXNONCYC, ISSI",2000-03-24,Development,1857135500,148570840000
DSNG,Dharma Satya Nusantara Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,D232,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDX80, IDXG30, IDXNONCYC, IDXQ30, IDXSHAGROW, IDXSMC-COM, IDXSMC-LIQ, IDXV30, IDXVESTA28, ISSI, JII70, KOMPAS100, MBX, SRI-KEHATI",2013-06-14,Main,10599842400,14150789604000
DSSA,Dian Swastatika Sentosa Tbk,Energy,"Oil, Gas & Coal",Coal,Coal Production,A121,"COMPOSITE, IDXENERGY, ISSI, KOMPAS100, MBX",2009-12-10,Main,192638080000,163742368000000
DUCK,Jaya Bersama Indo Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Restaurants,E515,"COMPOSITE, IDXCYCLIC",2018-10-10,Watchlist,1283330000,225866080000
DUTI,Duta Pertiwi Tbk,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, IDXPROPERT, IDXSMC-COM, ISSI",1994-11-02,Watchlist,1850000000,7936500000000
DVLA,Darya-Varia Laboratoria Tbk.,Healthcare,Pharmaceuticals & Health Care Research,Pharmaceuticals,Pharmaceuticals,F211,"COMPOSITE, DBX, IDXHEALTH, IDXSMC-COM, ISSI",1994-11-11,Development,1120000000,1792000000000
DWGL,Dwi Guna Laksana Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Distribution,A122,"COMPOSITE, DBX, IDXENERGY, IDXSMC-COM, ISSI",2017-12-13,Development,9252820991,3423543766670
DYAN,Dyandra Media International Tb,Industrials,Industrial Services,Commercial Services,Business Support Services,C224,"COMPOSITE, DBX, IDXINDUST, ISSI",2013-03-25,Development,4272964279,358928999436
EAST,Eastparc Hotel Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines",E512,"COMPOSITE, DBX, IDXCYCLIC, ISSI",2019-07-09,Development,4126405336,379629290912
ECII,Electronic City Indonesia Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Electronics Retail,E742,"COMPOSITE, DBX, IDXCYCLIC, ISSI",2013-07-03,Development,1334333000,213493280000
EDGE,Indointernet Tbk.,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting,I121,"COMPOSITE, DBX, IDXSMC-COM, IDXTECHNO",2021-02-08,Development,2020250000,9676997500000
EKAD,Ekadharma International Tbk.,Basic Materials,Basic Materials,Chemicals,Specialty Chemicals,B113,"COMPOSITE, DBX, IDXBASIC, ISSI",,Development,3493875000,593958750000
ELIT,Data Sinergitama Jaya Tbk.,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting,I121,"COMPOSITE, DBX, IDXTECHNO, ISSI",2023-01-06,Development,2031643057,351474248861
ELPI,Pelayaran Nasional Ekalya Purn,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries,K211,"COMPOSITE, IDXSMC-COM, IDXTRANS, ISSI, MBX",,Main,9524420000,6857582400000
ELSA,Elnusa Tbk.,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports",Oil & Gas Drilling Service,A131,"COMPOSITE, ESGQKEHATI, IDX80, IDXBUMN20, IDXENERGY, IDXMESBUMN, IDXSHAGROW, IDXSMC-COM, IDXSMC-LIQ, IDXV30, ISSI, JII70, KOMPAS100, MBX, SMinfra18",2008-02-06,Main,7298500000,5072457500000
ELTY,Bakrieland Development Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, IDXPROPERT, IDXSMC-COM, ISSI",1995-10-30,Watchlist,43521913019,1392701216608
EMAS,Merdeka Gold Resources Tbk.,Basic Materials,Basic Materials,Metals & Minerals,Gold,B143,"COMPOSITE, DBX, IDXBASIC",2025-09-23,Development,14731366060,97227015996000
EMDE,Megapolitan Developments Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, DBX, IDXPROPERT, ISSI",2011-01-12,Development,3350000000,231150000000
EMMI,Esa Medika Mandiri Tbk.,Healthcare,Healthcare Equipment & Providers,Healthcare Equipment & Supplies,Healthcare Equipment,F111,"COMPOSITE, DBX, IDXHEALTH",2026-07-08,Development,1742857000,735485654000
EMTK,Elang Mahkota Teknologi Tbk.,Technology,Software & IT Services,Online Applications & Services,Online Applications & Services,I111,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDX30, IDX80, IDXESGL, IDXG30, IDXLQ45LCL, IDXTECHNO, IDXV30, IDXVESTA28, KOMPAS100, LQ45, MBX, SRI-KEHATI",2010-01-12,Main,61426451483,32556019285990
ENAK,Champ Resto Indonesia Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Restaurants,E515,"COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM, ISSI",2022-02-08,Development,2166666800,546000033600
ENRG,Energi Mega Persada Tbk.,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Production & Refinery,A111,"COMPOSITE, I-GRADE, IDX80, IDXENERGY, IDXG30, IDXSHAGROW, IDXSMC-COM, IDXSMC-LIQ, ISSI, JII, JII70, KOMPAS100, MBX, MNC36",2004-06-07,Main,26564543750,34268261437500
ENVY,Envy Technologies Indonesia Tb,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting,I121,"COMPOSITE, IDXTECHNO",2019-07-08,Watchlist,1800000000,90000000000
ENZO,Morenzo Abadi Perkasa Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry",D231,"COMPOSITE, DBX, IDXNONCYC",2020-09-14,Development,2162547122,142728110052
EPAC,Megalestari Epack Sentosaraya,Basic Materials,Basic Materials,Containers & Packaging,Containers & Packaging,B131,"COMPOSITE, DBX, IDXBASIC, ISSI",2020-07-01,Development,3303400000,204810800000
EPMT,Enseval Putera Megatrading Tbk,Consumer Non-Cyclicals,Food & Staples Retailing,Food & Staples Retailing,Drug Retail & Distributors,D111,"COMPOSITE, IDXNONCYC, IDXSMC-COM, ISSI, MBX",,Main,2708640000,6392390400000
ERAA,Erajaya Swasembada Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Electronics Retail,E742,"COMPOSITE, ECONOMIC30, IDX80, IDXCYCLIC, IDXESGL, IDXG30, IDXHIDIV20, IDXSHAGROW, IDXSMC-COM, IDXSMC-LIQ, IDXV30, ISSI, JII70, KOMPAS100, MBX",2011-12-14,Main,15950000000,6699000000000
ERAL,Sinar Eka Selaras Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Electronics Retail,E742,"COMPOSITE, IDXCYCLIC, IDXSMC-COM, ISSI, MBX",,Main,5187500000,1587375000000
ERTX,Eratex Djaja Tbk.,Consumer Cyclicals,Apparel & Luxury Goods,Apparel & Luxury Goods,"Clothing, Accessories & Bags",E411,"COMPOSITE, DBX, IDXCYCLIC, ISSI",,Development,1286539792,225144463600
ESIP,Sinergi Inti Plastindo Tbk.,Basic Materials,Basic Materials,Containers & Packaging,Containers & Packaging,B131,"COMPOSITE, DBX, IDXBASIC, ISSI",2019-11-14,Development,1109953847,144294000110
ESSA,ESSA Industries Indonesia Tbk.,Basic Materials,Basic Materials,Chemicals,Basic Chemicals,B111,"COMPOSITE, ECONOMIC30, IDX80, IDXBASIC, IDXG30, IDXSHAGROW, IDXSMC-COM, IDXSMC-LIQ, IDXVESTA28, ISSI, JII70, KOMPAS100, LQ45, MBX",2012-02-01,Main,17226975700,11025264448000
ESTA,Esta Multi Usaha Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines",E512,"COMPOSITE, DBX, IDXCYCLIC, ISSI",2020-03-09,Development,2425354179,475369419084
ESTI,Ever Shine Tex Tbk.,Consumer Cyclicals,Apparel & Luxury Goods,Apparel & Luxury Goods,Textiles,E413,"COMPOSITE, DBX, IDXCYCLIC",1992-10-13,Development,2015208720,316387769040
ETWA,Eterindo Wahanatama Tbk,Energy,Alternative Energy,Alternative Fuels,Alternative Fuels,A221,"COMPOSITE, IDXBASIC",1997-05-16,Watchlist,4668671400,326806998000
EURO,Estee Gold Feet Tbk.,Consumer Non-Cyclicals,Nondurable Household Products,Personal Care Products,Personal Care Products,D421,ABX,,Acceleration,2548826428,4944723270320
EXCL,XLSMART Telecom Sejahtera Tbk.,Infrastructures,Telecommunication,Wireless Telecommunication Services,Wireless Telecommunication Services,J321,"COMPOSITE, IDX80, IDXESGL, IDXINFRA, IDXLQ45LCL, ISSI, JII, JII70, KOMPAS100, LQ45, MBX",2005-09-29,Main,18199862451,44407664380440
FAPA,FAP Agri Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,D232,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM",2021-01-04,Development,3629411800,26676176730000
FAST,Fast Food Indonesia Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Restaurants,E515,"COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM, ISSI",1993-05-11,Development,4523610492,1592310893184
FASW,Fajar Surya Wisesa Tbk.,Basic Materials,Basic Materials,Containers & Packaging,Containers & Packaging,B131,"COMPOSITE, IDXBASIC, IDXSMC-COM, ISSI",1994-12-19,Watchlist,3221255423,16992122356325
FILM,MD Entertainment Tbk.,Consumer Cyclicals,Media & Entertainment,Entertainment & Movie Production,Entertainment & Movie Production,E621,"COMPOSITE, IDXCYCLIC, ISSI, KOMPAS100, MBX",,Main,10887566758,11540820763480
FIMP,Fimperkasa Utama Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,J211,,2021-04-09,Watchlist,400000975,27600067275
FIRE,Alfa Energi Investama Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Distribution,A122,"COMPOSITE, DBX, IDXENERGY, ISSI",2017-06-09,Development,1475363179,157863860153
FISH,FKS Multi Agro Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops,D232,"COMPOSITE, IDXNONCYC, IDXSMC-COM, ISSI, MBX",2002-01-18,Main,4800000000,2952000000000
FITT,Hotel Fitra International Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines",E512,"COMPOSITE, DBX, IDXCYCLIC",2019-06-11,Development,1304272051,456495217850
FLMC,Falmaco Nonwoven Industri Tbk.,Consumer Non-Cyclicals,Nondurable Household Products,Personal Care Products,Personal Care Products,D421,,2021-07-08,Acceleration,781250000,57031250000
FMII,Fortune Mate Indonesia Tbk,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, DBX, IDXPROPERT, IDXSMC-COM, ISSI",2000-06-30,Development,6400000000,1612800000000
FOLK,Multi Garam Utama Tbk.,Industrials,Multi-sector Holdings,Multi-sector Holdings,Multi-sector Holdings,C311,"COMPOSITE, DBX, IDXINDUST, IDXSMC-COM, ISSI",,Development,4091357544,859185084240
FOOD,Sentra Food Indonesia Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods,D222,"COMPOSITE, IDXNONCYC, ISSI",2019-01-08,Watchlist,650000000,114400000000
FORE,Fore Kopi Indonesia Tbk.,Consumer Non-Cyclicals,Food & Beverage,Beverages,Soft Drinks,D212,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",2025-04-14,Development,8918359270,6153667896300
FORU,Fortune Indonesia Tbk,Consumer Cyclicals,Media & Entertainment,Media,Advertising,E611,"COMPOSITE, IDXCYCLIC",2002-01-17,Development,465224000,1349149600000
FPNI,Lotte Chemical Titan Tbk.,Basic Materials,Basic Materials,Chemicals,Basic Chemicals,B111,"COMPOSITE, DBX, IDXBASIC, IDXSMC-COM, ISSI",2002-03-21,Development,5566414000,2259964084000
FREN,Smartfren Telecom Tbk,Infrastructures,Telecommunication,Wireless Telecommunication Services,Wireless Telecommunication Services,J321,,,,,
FUJI,Fuji Finance Indonesia Tbk.,Financials,Financing Service,Consumer Financing,Consumer Financing,G211,"COMPOSITE, DBX, IDXFINANCE",2019-07-09,Development,1300000000,262600000000
FUTR,Futura Energi Global Tbk.,Consumer Cyclicals,Media & Entertainment,Media,Advertising,E611,"COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM",2023-02-27,Development,6635551959,1857954548520
FWCT,Wijaya Cahaya Timber Tbk.,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Production & Refinery,A111,"COMPOSITE, DBX, IDXBASIC, ISSI",2023-02-01,Development,1963000000,182559000000
GAMA,Aksara Global Development Tbk.,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,H111,"COMPOSITE, IDXPROPERT",2012-07-11,Watchlist,10011027656,180198497808
GDST,Gunawan Dianjaya Steel Tbk.,Basic Materials,Basic Materials,Metals & Minerals,Iron & Steel,B144,"COMPOSITE, DBX, IDXBASIC, IDXSMC-COM, ISSI",2009-12-23,Development,9242500000,896522500000
GDYR,Goodyear Indonesia Tbk.,Consumer Cyclicals,Automobiles & Components,Auto Components,Tires,E112,"COMPOSITE, DBX, IDXCYCLIC, ISSI",1980-12-22,Development,410000000,448950000000
GEMA,Gema Grahasarana Tbk.,Consumer Cyclicals,Household Goods,Household Goods,Home Furnishings,E211,"COMPOSITE, DBX, IDXCYCLIC, ISSI",,Development,1600000000,129600000000
GEMS,Golden Energy Mines Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production,A121,"COMPOSITE, IDXENERGY, IDXSMC-COM, ISSI, MBX",2011-11-17,Main,5882353000,38088235675000
GGRM,Gudang Garam Tbk.,Consumer Non-Cyclicals,Tobacco,Tobacco,Tobacco,D311,"COMPOSITE, IDX80, IDXNONCYC, IDXSMC-COM, IDXSMC-LIQ, MBX",,Main,1924088000,36557672000000
GGRP,Gunung Raja Paksi Tbk.,Basic Materials,Basic Materials,Metals & Minerals,Iron & Steel,B144,"COMPOSITE, DBX, IDXBASIC, IDXSMC-COM, ISSI",2019-09-19,Development,12111376157,3609190094786
GHON,Gihon Telekomunikasi Indonesia,Infrastructures,Telecommunication,Wireless Telecommunication Services,Wireless Telecommunication Services,J321,"COMPOSITE, DBX, IDXINFRA, ISSI",2018-04-09,Development,550000000,896500000000
GIAA,Garuda Indonesia (Persero) Tbk,Transportation & Logistic,Transportation,Airlines,Airlines,K111,"COMPOSITE, DBX, IDXSMC-COM, IDXTRANS, ISSI",2011-02-11,Development,407091703837,21982952007198
